GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_020873925.1	30143648	GCF_020873925.1	30161428	
GCA_020881015.1	30150738	GCF_020881015.1	39668078	
GCA_020881855.1	30151598	GCF_020881855.1	30367228	
GCA_020907265.1	30191938	GCF_020907265.1	30288548	
GCA_020907985.1	30193008	GCF_020907985.1	30287348	
GCA_020982505.1	30298118	GCF_020982505.1	30307258	
GCA_020982545.1	30298138	GCF_020982545.1	30306798	
GCA_020991365.1	30328488	GCF_020991365.1	30382918	
GCA_021028635.1	30378718	GCF_021028635.1	30402378	
GCA_021029465.1	30387958	GCF_021029465.1	30404098	
GCA_021044745.1	30405758	GCF_021044745.1	30447138	
GCA_021083325.1	30445918	GCF_021083325.1	30483308	
GCA_021165735.1	30564878	GCF_021165735.1	30573058	
GCA_021173675.1	30574048	GCF_021173675.1	30617508	
GCA_021216675.1	30622788	GCF_021216675.1	30640768	
GCA_021228115.1	30640868	GCF_021228115.1	30645198	
GCA_021228125.1	30640888	GCF_021228125.1	30645618	
GCA_021228305.1	30641068	GCF_021228305.1	30645238	
GCA_021233395.1	30649318	GCF_021233395.1	30683398	
GCA_021246025.1	30663658	GCF_021246025.1	30693498	
GCA_021261325.1	30679918	GCF_021261325.1	30693898	
GCA_021300715.1	30729928	GCF_021300715.1	30746178	
GCA_021366495.1	30817328	GCF_021366495.1	30843298	
GCA_021383925.1	30835288	GCF_021383925.1	30842418	
GCA_021390235.1	30845758	GCF_021390235.1	30860228	
GCA_021390475.1	30845958	GCF_021390475.1	30860168	
GCA_021390895.1	30846378	GCF_021390895.1	31180118	
GCA_021390935.1	30846418	GCF_021390935.1	31180098	
GCA_021394475.1	30850478	GCF_021394475.1	30887938	
GCA_021394575.1	30850578	GCF_021394575.1	30884798	
GCA_021432205.1	30897428	GCF_021432205.1	30912798	
GCA_021432215.1	30897438	GCF_021432215.1	30920418	
GCA_021432225.1	30897458	GCF_021432225.1	30912378	
GCA_021432285.1	30897478	GCF_021432285.1	30912458	
GCA_021440105.1	30906158	GCF_021440105.1	30956878	
GCA_021441825.1	30920858	GCF_021441825.1	30956458	
GCA_021442405.1	30921778	GCF_021442405.1	30956538	
